survived,pclass,who,embarked,age_group,fare_group,familysize
0,3,man,S,19-35,7.91-14.454,alone
1,3,woman,S,13-18,7.91-14.454,alone
0,3,woman,S,36-60,31+,big
1,1,man,C,36-60,31+,small
0,3,woman,Q,19-35,7.91-14.454,alone
1,1,man,C,19-35,31+,alone
0,3,man,S,19-35,7.91-14.454,alone
0,3,child,S,13-18,31+,big
0,2,man,S,36-60,31+,small
0,2,man,C,19-35,31+,small
0,3,child,S,13-18,31+,big
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,13-18,0-7.91,alone
1,1,child,S,13-18,31+,small
1,1,man,S,19-35,31+,small
1,3,child,C,0-12,7.91-14.454,small
1,3,man,S,19-35,31+,alone
0,3,man,C,19-35,0-7.91,alone
0,1,man,S,36-60,14.454-31,alone
0,2,man,S,36-60,7.91-14.454,alone
0,3,man,S,36-60,7.91-14.454,alone
1,3,woman,Q,19-35,0-7.91,alone
0,1,man,C,36-60,31+,small
0,3,man,S,36-60,0-7.91,alone
1,1,woman,C,13-18,31+,small
1,1,man,S,19-35,14.454-31,alone
0,3,woman,C,13-18,14.454-31,small
0,3,man,Q,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,small
0,2,man,S,36-60,14.454-31,alone
1,2,woman,S,36-60,7.91-14.454,alone
1,1,man,S,36-60,14.454-31,alone
1,1,woman,S,19-35,31+,alone
1,3,man,C,19-35,14.454-31,small
1,1,woman,C,19-35,31+,alone
0,1,man,S,36-60,14.454-31,alone
1,1,man,S,36-60,31+,small
0,3,man,S,19-35,7.91-14.454,alone
0,2,man,S,36-60,7.91-14.454,alone
0,3,man,S,19-35,0-7.91,alone
1,1,woman,C,36-60,31+,alone
1,2,woman,S,19-35,7.91-14.454,alone
0,3,man,Q,19-35,14.454-31,alone
0,3,man,S,19-35,0-7.91,alone
1,2,child,S,0-12,31+,small
0,3,man,S,13-18,0-7.91,small
0,2,man,S,19-35,7.91-14.454,alone
0,2,man,S,36-60,7.91-14.454,alone
1,1,man,S,19-35,31+,small
0,3,man,S,19-35,7.91-14.454,alone
1,2,woman,S,19-35,14.454-31,small
1,3,woman,Q,19-35,0-7.91,alone
0,2,man,S,19-35,14.454-31,small
0,3,woman,S,19-35,7.91-14.454,small
1,1,woman,S,19-35,31+,alone
0,3,child,C,0-12,14.454-31,alone
0,2,man,S,19-35,,alone
0,2,man,S,19-35,7.91-14.454,alone
0,2,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,14.454-31,alone
0,3,woman,S,36-60,31+,big
1,1,man,C,19-35,31+,alone
0,3,man,S,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,alone
1,1,man,S,36-60,14.454-31,alone
0,1,man,S,36-60,31+,small
1,1,woman,C,19-35,31+,big
0,3,man,S,19-35,14.454-31,small
1,3,man,S,19-35,7.91-14.454,alone
0,1,man,S,60+,31+,small
0,3,man,S,13-18,14.454-31,small
1,2,woman,S,19-35,7.91-14.454,alone
0,1,man,S,19-35,31+,small
0,3,man,Q,19-35,0-7.91,alone
1,2,child,S,0-12,14.454-31,small
1,3,child,S,0-12,7.91-14.454,small
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,0-7.91,alone
1,2,woman,S,36-60,31+,small
1,2,child,S,0-12,14.454-31,small
0,3,man,S,19-35,0-7.91,alone
0,2,man,S,13-18,7.91-14.454,alone
0,3,man,S,19-35,7.91-14.454,alone
1,1,woman,S,19-35,31+,alone
0,3,man,S,19-35,14.454-31,alone
0,3,man,S,36-60,0-7.91,alone
1,3,man,C,19-35,0-7.91,alone
1,1,woman,S,36-60,31+,small
0,3,man,S,13-18,0-7.91,alone
1,1,woman,S,36-60,31+,small
0,1,man,C,36-60,31+,alone
0,3,woman,Q,19-35,0-7.91,alone
0,3,man,Q,19-35,14.454-31,small
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,36-60,0-7.91,alone
0,2,woman,S,36-60,7.91-14.454,alone
0,3,man,C,19-35,0-7.91,alone
1,2,woman,S,36-60,14.454-31,big
0,3,man,S,13-18,0-7.91,alone
0,3,man,Q,19-35,0-7.91,alone
1,3,child,S,0-12,7.91-14.454,alone
0,3,man,Q,19-35,0-7.91,alone
1,1,woman,S,36-60,31+,small
1,3,child,C,13-18,0-7.91,alone
1,1,woman,S,13-18,31+,small
0,1,man,S,19-35,14.454-31,alone
0,3,man,S,19-35,14.454-31,small
0,3,man,S,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,alone
1,3,woman,S,13-18,0-7.91,alone
0,3,child,Q,0-12,14.454-31,big
1,3,child,S,0-12,14.454-31,small
0,1,man,C,36-60,31+,alone
0,3,man,Q,19-35,0-7.91,alone
0,2,man,S,13-18,14.454-31,alone
0,3,woman,S,19-35,31+,big
0,1,man,C,36-60,14.454-31,alone
0,3,man,S,19-35,0-7.91,alone
0,2,man,S,36-60,7.91-14.454,alone
1,1,woman,S,36-60,14.454-31,alone
1,3,woman,S,19-35,7.91-14.454,alone
0,3,man,C,19-35,0-7.91,alone
0,3,woman,S,19-35,14.454-31,small
0,2,man,S,19-35,7.91-14.454,alone
1,2,woman,S,19-35,14.454-31,small
1,1,child,S,0-12,31+,small
1,3,child,C,0-12,7.91-14.454,small
1,3,man,S,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,alone
0,1,man,S,36-60,,alone
0,3,woman,S,13-18,0-7.91,alone
0,2,man,S,36-60,7.91-14.454,alone
1,1,woman,S,19-35,31+,small
0,3,man,S,19-35,0-7.91,alone
0,3,man,S,36-60,14.454-31,alone
0,2,man,S,19-35,7.91-14.454,alone
0,3,child,S,0-12,31+,big
0,3,man,S,19-35,7.91-14.454,alone
0,1,man,S,36-60,,alone
0,3,woman,S,19-35,7.91-14.454,alone
0,2,man,C,19-35,31+,small
0,3,man,S,36-60,0-7.91,alone
0,3,child,S,0-12,14.454-31,big
1,1,woman,S,36-60,31+,small
1,3,man,S,19-35,7.91-14.454,alone
0,1,man,S,36-60,,alone
1,3,woman,S,19-35,7.91-14.454,small
0,3,child,S,0-12,31+,big
0,3,man,Q,19-35,0-7.91,alone
0,3,man,S,19-35,31+,alone
1,2,child,C,0-12,31+,small
1,3,man,Q,19-35,0-7.91,alone
1,1,woman,S,60+,31+,alone
1,3,child,C,13-18,14.454-31,small
1,2,child,S,0-12,14.454-31,small
0,3,man,C,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,alone
0,3,man,S,13-18,7.91-14.454,alone
1,1,woman,C,36-60,31+,small
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,7.91-14.454,alone
1,3,man,S,19-35,31+,alone
1,1,man,C,36-60,14.454-31,alone
0,3,man,S,19-35,7.91-14.454,alone
0,2,man,S,13-18,7.91-14.454,alone
1,1,woman,C,19-35,14.454-31,alone
0,3,man,C,19-35,0-7.91,alone
0,3,man,S,13-18,7.91-14.454,alone
0,3,man,S,36-60,0-7.91,alone
0,3,man,S,19-35,31+,big
0,3,man,C,19-35,0-7.91,alone
0,2,man,S,19-35,31+,small
1,1,woman,C,36-60,31+,small
0,3,child,S,0-12,31+,big
0,3,man,S,60+,0-7.91,alone
0,3,child,C,0-12,14.454-31,small
1,1,woman,S,13-18,31+,small
0,2,woman,S,36-60,14.454-31,small
1,3,woman,S,13-18,7.91-14.454,small
1,1,woman,S,36-60,31+,small
1,1,man,S,36-60,14.454-31,alone
1,3,woman,C,19-35,14.454-31,small
0,3,man,C,19-35,0-7.91,alone
0,3,man,S,36-60,7.91-14.454,small
0,2,man,S,19-35,7.91-14.454,small
1,1,woman,S,36-60,14.454-31,alone
0,3,woman,S,19-35,31+,big
0,2,man,S,19-35,7.91-14.454,alone
1,2,woman,S,36-60,7.91-14.454,alone
1,2,woman,C,19-35,7.91-14.454,small
0,1,man,S,19-35,31+,alone
0,3,man,S,19-35,7.91-14.454,alone
1,3,child,S,0-12,7.91-14.454,small
0,3,man,S,19-35,0-7.91,alone
1,1,woman,S,36-60,31+,small
0,1,man,S,19-35,0-7.91,alone
0,3,man,S,36-60,7.91-14.454,alone
1,2,woman,C,19-35,14.454-31,small
1,3,child,C,13-18,0-7.91,alone
0,3,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,0-7.91,alone
0,3,man,S,19-35,0-7.91,alone
1,1,woman,C,36-60,31+,small
1,2,woman,S,19-35,14.454-31,small
0,3,man,S,19-35,0-7.91,alone
0,3,woman,S,19-35,7.91-14.454,alone
0,2,man,S,19-35,7.91-14.454,alone
0,3,man,S,19-35,0-7.91,alone
0,3,woman,Q,36-60,14.454-31,big
0,2,man,S,19-35,7.91-14.454,alone
1,1,woman,S,19-35,14.454-31,alone
0,3,woman,S,19-35,14.454-31,small
1,1,man,C,19-35,14.454-31,alone
0,3,man,Q,19-35,0-7.91,alone
